Galaxy_Name,M_bar_Msun,h_R_kpc,Sigma_0_Msun_pc2,v_flat_meas_km_s
MockGal_090,5.766e+07,0.266,135.8,64.65
MockGal_091,1.430e+09,0.799,156.7,124.97
MockGal_092,5.425e+07,0.534,148.5,32.67
MockGal_093,2.009e+08,0.340,132.7,120.65
MockGal_094,4.727e+07,0.760,164.5,21.40
MockGal_095,6.769e+08,1.835,131.8,96.15
MockGal_096,3.665e+09,3.082,142.7,127.95
MockGal_097,1.830e+07,0.538,163.6,16.59
MockGal_098,7.132e+10,7.172,147.6,295.19
MockGal_099,4.744e+09,1.361,165.6,155.33
MockGal_100,1.991e+07,0.444,168.9,18.21
MockGal_101,3.365e+10,2.421,376.3,165.96
MockGal_102,4.804e+08,1.415,136.8,76.51
MockGal_103,1.571e+07,0.315,158.7,19.72
MockGal_104,5.371e+07,0.284,138.6,57.37
MockGal_105,2.335e+07,0.462,165.0,20.27
MockGal_106,3.181e+10,3.790,305.2,145.53
MockGal_107,2.036e+11,4.814,165.9,584.95
MockGal_108,3.139e+10,3.109,272.9,165.64
MockGal_109,1.038e+11,8.796,165.9,271.08
MockGal_110,4.425e+07,0.246,154.7,41.22
MockGal_111,1.765e+10,2.682,139.1,347.80
MockGal_112,3.026e+07,0.362,167.3,21.79
MockGal_113,2.632e+11,11.392,411.6,212.74
MockGal_114,6.253e+07,0.708,162.2,26.66
MockGal_115,1.752e+11,5.075,566.1,239.45
MockGal_116,1.072e+10,1.365,147.3,318.27
MockGal_117,7.826e+10,5.348,377.0,160.32
MockGal_118,1.466e+08,0.952,158.1,35.46
MockGal_119,4.490e+11,10.280,427.6,268.84
MockGal_120,1.637e+08,0.495,167.8,49.67
MockGal_121,2.326e+11,8.497,509.1,207.46
MockGal_122,1.333e+11,3.395,169.7,489.33
MockGal_123,2.348e+10,5.412,124.9,526.51
MockGal_124,2.697e+09,2.140,134.7,156.54
MockGal_125,2.573e+10,3.698,320.6,117.17
MockGal_126,1.602e+08,0.846,165.1,35.61
MockGal_127,5.980e+08,0.482,145.5,125.56
MockGal_128,1.465e+11,3.829,453.3,249.94
MockGal_129,1.090e+09,1.511,158.8,80.09
MockGal_130,1.217e+09,1.970,136.7,98.64
MockGal_131,1.052e+11,8.235,171.0,293.75
MockGal_132,1.676e+07,0.157,160.7,27.67
MockGal_133,3.393e+09,2.770,168.8,96.48
MockGal_134,1.009e+08,0.805,161.8,31.13
MockGal_135,3.163e+07,0.195,137.2,50.96
MockGal_136,1.284e+08,0.839,167.1,30.64
MockGal_137,1.999e+07,0.347,134.2,34.68
MockGal_138,2.117e+10,5.133,134.4,308.03
MockGal_139,1.044e+11,4.188,380.4,210.58
MockGal_140,2.383e+11,12.163,137.2,571.67
MockGal_141,1.830e+08,0.583,161.3,43.15
MockGal_142,5.330e+08,1.234,133.0,96.41
MockGal_143,1.458e+07,0.222,139.4,30.13
MockGal_144,5.166e+10,6.374,169.1,245.89
MockGal_145,5.687e+07,0.249,140.8,58.99
MockGal_146,1.334e+11,8.749,467.9,164.20
MockGal_147,2.529e+07,0.601,163.1,16.51
MockGal_148,3.492e+08,0.860,152.6,62.55
MockGal_149,1.012e+11,5.661,479.5,168.80
MockGal_150,4.037e+10,4.733,167.2,235.18
MockGal_151,1.325e+11,3.549,248.5,314.82
MockGal_152,2.131e+11,7.112,315.9,258.78
MockGal_153,4.854e+09,1.989,164.2,146.92
MockGal_154,3.816e+07,0.534,147.6,29.73
MockGal_155,3.858e+08,0.485,169.2,65.05
MockGal_156,3.976e+10,6.715,179.2,178.42
MockGal_157,3.204e+11,6.705,456.8,256.70
MockGal_158,1.327e+07,0.351,154.2,17.92
MockGal_159,1.032e+07,0.445,169.3,12.81
MockGal_160,3.427e+08,1.146,171.1,42.96
MockGal_161,6.495e+10,3.460,394.3,193.56
MockGal_162,2.322e+10,1.945,124.4,1009.00
MockGal_163,6.175e+09,1.332,210.9,136.88
MockGal_164,1.534e+09,1.821,169.9,75.61
MockGal_165,2.808e+11,11.030,255.5,257.76
MockGal_166,1.610e+11,9.076,287.6,221.44
MockGal_167,2.938e+07,0.539,163.0,22.28
MockGal_168,2.035e+09,1.028,136.3,196.97
MockGal_169,2.294e+08,0.656,161.8,50.41
MockGal_170,2.771e+11,12.454,213.8,300.43
MockGal_171,1.966e+08,0.861,170.6,36.96
MockGal_172,1.494e+08,0.404,164.0,48.21
MockGal_173,6.455e+08,1.334,136.9,93.22
MockGal_174,2.594e+07,0.259,146.3,32.04
