corpus,species,Z,A,stage,transition,quantity,value,unit,n_low,n_high,source
ION_FULL,Z=8,8,16,8,IE_8,IE_eV,871.4101,eV,,,ionisation_energies.json
ION_FULL,Z=10,10,20,1,IE_1,IE_eV,21.5646,eV,,,ionisation_energies.json
ION_FULL,Z=10,10,20,2,IE_2,IE_eV,40.96328,eV,,,ionisation_energies.json
ION_FULL,Z=10,10,20,3,IE_3,IE_eV,63.45,eV,,,ionisation_energies.json
ION_FULL,Z=10,10,20,4,IE_4,IE_eV,97.12,eV,,,ionisation_energies.json
ION_FULL,Z=10,10,20,5,IE_5,IE_eV,126.21,eV,,,ionisation_energies.json
ION_FULL,Z=10,10,20,6,IE_6,IE_eV,157.93,eV,,,ionisation_energies.json
ION_FULL,Z=10,10,20,7,IE_7,IE_eV,207.2759,eV,,,ionisation_energies.json
ION_FULL,Z=10,10,20,8,IE_8,IE_eV,239.0989,eV,,,ionisation_energies.json
ION_FULL,Z=10,10,20,9,IE_9,IE_eV,1195.8286,eV,,,ionisation_energies.json
ION_FULL,Z=10,10,20,10,IE_10,IE_eV,1362.1995,eV,,,ionisation_energies.json
ION_FULL,Z=12,12,24,1,IE_1,IE_eV,7.64624,eV,,,ionisation_energies.json
ION_FULL,Z=12,12,24,2,IE_2,IE_eV,15.03528,eV,,,ionisation_energies.json
ION_FULL,Z=12,12,24,3,IE_3,IE_eV,80.1437,eV,,,ionisation_energies.json
ION_FULL,Z=12,12,24,4,IE_4,IE_eV,109.2655,eV,,,ionisation_energies.json
ION_FULL,Z=12,12,24,5,IE_5,IE_eV,141.27,eV,,,ionisation_energies.json
ION_FULL,Z=12,12,24,6,IE_6,IE_eV,186.76,eV,,,ionisation_energies.json
ION_FULL,Z=12,12,24,7,IE_7,IE_eV,225.02,eV,,,ionisation_energies.json
ION_FULL,Z=12,12,24,8,IE_8,IE_eV,265.96,eV,,,ionisation_energies.json
ION_FULL,Z=12,12,24,9,IE_9,IE_eV,328.06,eV,,,ionisation_energies.json
ION_FULL,Z=12,12,24,10,IE_10,IE_eV,367.5,eV,,,ionisation_energies.json
ION_FULL,Z=12,12,24,11,IE_11,IE_eV,1761.805,eV,,,ionisation_energies.json
ION_FULL,Z=12,12,24,12,IE_12,IE_eV,1962.665,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,1,IE_1,IE_eV,15.75962,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,2,IE_2,IE_eV,27.62967,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,3,IE_3,IE_eV,40.74,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,4,IE_4,IE_eV,59.81,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,5,IE_5,IE_eV,75.02,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,6,IE_6,IE_eV,91.009,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,7,IE_7,IE_eV,124.323,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,8,IE_8,IE_eV,143.46,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,9,IE_9,IE_eV,422.45,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,10,IE_10,IE_eV,478.69,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,11,IE_11,IE_eV,538.96,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,12,IE_12,IE_eV,618.26,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,13,IE_13,IE_eV,686.1,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,14,IE_14,IE_eV,755.74,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,15,IE_15,IE_eV,854.77,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,16,IE_16,IE_eV,918.03,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,17,IE_17,IE_eV,4120.8857,eV,,,ionisation_energies.json
ION_FULL,Z=18,18,36,18,IE_18,IE_eV,4426.2296,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,1,IE_1,IE_eV,6.11316,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,2,IE_2,IE_eV,11.87172,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,3,IE_3,IE_eV,50.9131,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,4,IE_4,IE_eV,67.27,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,5,IE_5,IE_eV,84.5,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,6,IE_6,IE_eV,108.78,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,7,IE_7,IE_eV,127.2,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,8,IE_8,IE_eV,147.24,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,9,IE_9,IE_eV,188.54,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,10,IE_10,IE_eV,211.275,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,11,IE_11,IE_eV,591.9,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,12,IE_12,IE_eV,657.2,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,13,IE_13,IE_eV,726.6,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,14,IE_14,IE_eV,817.6,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,15,IE_15,IE_eV,894.5,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,16,IE_16,IE_eV,974.0,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,17,IE_17,IE_eV,1087.0,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,18,IE_18,IE_eV,1157.8,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,19,IE_19,IE_eV,5128.8,eV,,,ionisation_energies.json
ION_FULL,Z=20,20,40,20,IE_20,IE_eV,5469.864,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,1,IE_1,IE_eV,7.9024,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,2,IE_2,IE_eV,16.1878,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,3,IE_3,IE_eV,30.652,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,4,IE_4,IE_eV,54.8,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,5,IE_5,IE_eV,75.0,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,6,IE_6,IE_eV,99.1,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,7,IE_7,IE_eV,124.98,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,8,IE_8,IE_eV,151.06,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,9,IE_9,IE_eV,233.6,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,10,IE_10,IE_eV,262.1,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,11,IE_11,IE_eV,290.2,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,12,IE_12,IE_eV,330.8,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,13,IE_13,IE_eV,361.0,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,14,IE_14,IE_eV,392.2,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,15,IE_15,IE_eV,457.0,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,16,IE_16,IE_eV,489.256,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,17,IE_17,IE_eV,1266.0,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,18,IE_18,IE_eV,1358.0,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,19,IE_19,IE_eV,1456.0,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,20,IE_20,IE_eV,1582.0,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,21,IE_21,IE_eV,1689.0,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,22,IE_22,IE_eV,1799.0,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,23,IE_23,IE_eV,1950.0,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,24,IE_24,IE_eV,2023.0,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,25,IE_25,IE_eV,8828.0,eV,,,ionisation_energies.json
ION_FULL,Z=26,26,52,26,IE_26,IE_eV,9277.69,eV,,,ionisation_energies.json
