corpus,split,species,Z,A,n_upper,n_lower,frequency_Hz,unc_frequency_Hz,source,source_quantity
HLIKE_LIMIT,element_holdout,Z=10 H-like limit,10,20,inf,1,3.293783736573454e+17,,ionisation_energies.json,1362.1995 eV
HLIKE_LIMIT,element_holdout,Z=11 H-like limit,11,22,inf,1,3.9865436994038886e+17,,ionisation_energies.json,1648.702 eV
HLIKE_LIMIT,element_holdout,Z=12 H-like limit,12,24,inf,1,4.745702855816595e+17,,ionisation_energies.json,1962.665 eV
HLIKE_LIMIT,element_holdout,Z=13 H-like limit,13,26,inf,1,5.571388150246785e+17,,ionisation_energies.json,2304.141 eV
HLIKE_LIMIT,element_holdout,Z=14 H-like limit,14,28,inf,1,6.463725318135045e+17,,ionisation_energies.json,2673.182 eV
HLIKE_LIMIT,element_holdout,Z=15 H-like limit,15,30,inf,1,7.422844930900449e+17,,ionisation_energies.json,3069.842 eV
HLIKE_LIMIT,element_holdout,Z=16 H-like limit,16,32,inf,1,8.448911895409307e+17,,ionisation_energies.json,3494.1892 eV
HLIKE_LIMIT,element_holdout,Z=17 H-like limit,17,34,inf,1,9.542101274082744e+17,,ionisation_energies.json,3946.296 eV
HLIKE_LIMIT,element_holdout,Z=18 H-like limit,18,36,inf,1,1.0702575555797829e+18,,ionisation_energies.json,4426.2296 eV
HLIKE_LIMIT,element_holdout,Z=19 H-like limit,19,38,inf,1,1.1930470147952123e+18,,ionisation_energies.json,4934.046 eV
HLIKE_LIMIT,element_holdout,Z=20 H-like limit,20,40,inf,1,1.322607230766758e+18,,ionisation_energies.json,5469.864 eV
HLIKE_LIMIT,element_holdout,Z=21 H-like limit,21,42,inf,1,1.4589450705838676e+18,,ionisation_energies.json,6033.712 eV
HLIKE_LIMIT,element_holdout,Z=22 H-like limit,22,44,inf,1,1.6021161479991089e+18,,ionisation_energies.json,6625.82 eV
HLIKE_LIMIT,element_holdout,Z=23 H-like limit,23,46,inf,1,1.7521040206856369e+18,,ionisation_energies.json,7246.12 eV
HLIKE_LIMIT,element_holdout,Z=24 H-like limit,24,48,inf,1,1.9089565648304433e+18,,ionisation_energies.json,7894.81 eV
HLIKE_LIMIT,element_holdout,Z=25 H-like limit,25,50,inf,1,2.0726858703797394e+18,,ionisation_energies.json,8571.94 eV
HLIKE_LIMIT,element_holdout,Z=26 H-like limit,26,52,inf,1,2.2433354611398825e+18,,ionisation_energies.json,9277.69 eV
HLIKE_LIMIT,element_holdout,Z=27 H-like limit,27,54,inf,1,2.420919845046325e+18,,ionisation_energies.json,10012.12 eV
HLIKE_LIMIT,element_holdout,Z=28 H-like limit,28,56,inf,1,2.6054801279161825e+18,,ionisation_energies.json,10775.4 eV
HLIKE_LIMIT,element_holdout,Z=29 H-like limit,29,58,inf,1,2.797037346255861e+18,,ionisation_energies.json,11567.617 eV
MULTI,final_holdout,He I,2,4,2,1,5130489573855779.0,,NIST/APS01 measured comparison,21.218 eV
MULTI,final_holdout,Be I,4,9,2,2,1276456520896628.2,,NIST/APS01 measured comparison,5.279 eV
MULTI,final_holdout,Na I,11,23,3,3,508986735458875.25,,NIST/APS01 measured comparison,2.105 eV
MULTI,final_holdout,Fe XXV,26,56,2,1,1.620052792196895e+18,,NIST/APS01 measured comparison,6700.0 eV
