╔══════════════════════════════════════════════════════════════╗
║  APS01 B+++: BLIND PAIRING & MAGNETIC GEAR DISCOVERY       ║
╚══════════════════════════════════════════════════════════════╝

══ TABLE 1: PAIRING METRICS ══

  ID  Z    OLI   CBI  BP   rho   PS1  NPBP1  PCI1  rough    RWI      MdA     MdB     MdC
  29 30   1.91  2.21   2 0.000 0.523  0.912 0.000 0.0053 0.0032  ?       SOFT    SOFT   
  30 31   3.42  3.42   1 0.000 0.292  2.420 0.000 0.1706 0.1024  ?       SOFT    RESIDUAL
  31 32   2.02  2.15   2 0.000 0.496  1.017 0.000 0.0010 0.0006  ?       SOFT    SOFT   
  32 33   1.90  1.90   1 0.000 0.527  0.899 0.000 0.0120 0.0072  ?       SOFT    RESIDUAL
  33 34   2.17  2.17   1 0.000 0.460  1.173 0.000 0.0403 0.0242  ?       SOFT    RESIDUAL
  34 35   1.83  1.83   1 0.000 0.547  0.828 0.000 0.0021 0.0013  ?       SOFT    SOFT   
  35 36   1.74  1.74   1 0.000 0.575  0.740 0.000 0.0047 0.0028  ?       SOFT    SOFT   
  36 37   6.53  6.53   1 0.000 0.153  5.533 0.000 0.0000 0.0000  LOOSE   LOOSE   LOOSE  
  37 38   1.94  1.94   1 0.000 0.516  0.937 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  38 39   1.97  1.97   1 0.000 0.508  0.969 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  39 40   1.98  1.98   1 0.000 0.505  0.979 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  40 41   2.12  2.12   1 0.000 0.472  1.119 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  41 42   2.28  2.28   1 0.000 0.439  1.279 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  42 43   2.10  2.10   1 0.000 0.477  1.096 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  43 44   2.28  2.28   1 0.000 0.439  1.277 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  44 45   2.42  2.42   1 0.000 0.413  1.424 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  45 46   2.33  2.33   1 0.000 0.429  1.331 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  46 47   2.84  2.84   1 0.000 0.353  1.837 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  47 48   1.88  1.88   1 0.000 0.532  0.880 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  48 49   3.26  3.26   1 0.000 0.307  2.261 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  49 50   1.99  1.99   1 0.000 0.502  0.992 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  50 51   1.92  1.92   1 0.000 0.521  0.920 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  51 52   2.06  2.06   1 0.000 0.484  1.064 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  52 53   1.83  1.83   1 0.000 0.546  0.831 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  53 54   1.73  1.73   1 0.000 0.578  0.729 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  54 55   6.45  6.45   1 0.000 0.155  5.446 0.000 0.0000 0.0000  LOOSE   LOOSE   LOOSE  
  55 56   1.92  1.92   1 0.000 0.521  0.919 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  56 57   1.98  1.98   1 0.000 0.504  0.983 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  57 58   1.96  1.96   1 0.000 0.511  0.959 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  58 59   1.93  1.93   1 0.000 0.519  0.928 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  59 60   1.94  1.94   1 0.000 0.515  0.942 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  60 61   1.95  1.95   1 0.000 0.512  0.953 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  61 62   1.96  1.96   1 0.000 0.510  0.961 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  62 63   1.98  1.98   1 0.000 0.504  0.983 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  63 64   1.97  1.97   1 0.000 0.509  0.966 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  64 65   1.96  1.96   1 0.000 0.509  0.965 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  65 66   1.96  1.96   1 0.000 0.509  0.965 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  66 67   1.96  1.96   1 0.000 0.510  0.959 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  67 68   1.95  1.95   1 0.000 0.512  0.953 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  68 69   1.95  1.95   1 0.000 0.513  0.949 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  69 70   1.95  1.95   1 0.000 0.514  0.947 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  70 71   2.56  2.56   1 0.000 0.390  1.562 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  71 72   2.18  2.18   1 0.000 0.458  1.183 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  72 73   2.15  2.15   1 0.000 0.466  1.146 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  73 74   2.05  2.05   1 0.000 0.488  1.047 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  74 75   2.12  2.12   1 0.000 0.472  1.119 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  75 76   2.01  2.01   1 0.000 0.496  1.015 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  76 77   1.90  1.90   1 0.000 0.527  0.896 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  77 78   2.07  2.07   1 0.000 0.483  1.072 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  78 79   2.22  2.22   1 0.000 0.450  1.224 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  79 80   1.80  1.80   1 0.000 0.556  0.797 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  80 81   3.34  3.34   1 0.000 0.299  2.344 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  81 82   2.03  2.03   1 0.000 0.493  1.027 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  82 83   2.29  2.29   1 0.000 0.437  1.291 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  83 84   2.31  2.31   1 0.000 0.434  1.306 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  84 85   1.92  1.92   1 0.000 0.521  0.919 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  85 86   1.99  1.99   1 0.000 0.502  0.991 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  86 87   5.50  5.50   1 0.000 0.182  4.500 0.000 0.0000 0.0000  LOOSE   LOOSE   LOOSE  
  87 88   1.92  1.92   1 0.000 0.520  0.922 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  88 89   2.27  2.27   1 0.000 0.440  1.273 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  89 90   1.82  1.82   1 0.000 0.548  0.823 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  90 91   1.99  1.99   1 0.000 0.503  0.986 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  91 92   1.87  1.87   1 0.000 0.534  0.873 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  92 93   1.84  1.84   1 0.000 0.545  0.835 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  93 94   1.86  1.86   1 0.000 0.538  0.859 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  94 95   1.96  1.96   1 0.000 0.511  0.958 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  95 96   2.07  2.07   1 0.000 0.483  1.070 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  96 97   1.92  1.92   1 0.000 0.521  0.920 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  97 98   1.91  1.91   1 0.000 0.523  0.910 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  98 99   1.90  1.90   1 0.000 0.526  0.900 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  99 100   1.89  1.89   1 0.000 0.528  0.892 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  100 101   1.88  1.88   1 0.000 0.531  0.884 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  101 102   1.88  1.88   1 0.000 0.532  0.880 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  102 103   2.90  2.90   1 0.000 0.344  1.903 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  103 104   2.40  2.40   1 0.000 0.417  1.396 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  104 105   2.12  2.12   1 0.000 0.472  1.119 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  105 106   2.03  2.03   1 0.000 0.494  1.025 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  106 107   2.14  2.14   1 0.000 0.467  1.143 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  107 108   2.24  2.24   1 0.000 0.447  1.237 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  108 109   2.03  2.03   1 0.000 0.491  1.035 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  109 110   1.96  1.96   1 0.000 0.511  0.957 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  110 111   1.85  1.85   1 0.000 0.541  0.850 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  111 112   1.59  1.59   1 0.000 0.630  0.587 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  112 113   2.74  2.74   1 0.000 0.365  1.736 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  113 114   1.97  1.97   1 0.000 0.508  0.967 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  114 115   3.23  3.23   1 0.000 0.310  2.226 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  115 116   2.50  2.50   1 0.000 0.400  1.500 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  116 117   2.21  2.21   1 0.000 0.453  1.208 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  117 118   2.02  2.02   1 0.000 0.494  1.022 0.000 0.0000 0.0000  ?       SOFT    SOFT   

══ TABLE 2: CLASS COUNTS ══

  Class       MdA  MdB  MdC
  CANCEL        5    8    8
  LOOSE         6    6    6
  RESIDUAL      0    2    7
  BREACH        4    4    4
  D-GEAR        0    0    3
  SOFT          0   98   90
  ?           103    0    0

══ TABLE 3: NEAREST NEIGHBOURS (Mode C) ══

  # 0(Z= 1) -> # 1 #17 # 9  [H->He,Ar,Ne]
  # 1(Z= 2) -> #17 # 0 #20  [He->Ar,H,Sc]
  # 2(Z= 3) -> #10 #18 # 3  [Li->Na,K,Be]
  # 3(Z= 4) -> # 4 # 5 #18  [Be->B,C,K]
  # 4(Z= 5) -> # 5 # 6 # 3  [B->C,N,Be]
  # 5(Z= 6) -> # 4 # 6 # 7  [C->B,N,O]
  # 6(Z= 7) -> # 7 #30 # 5  [N->O,Ga,C]
  # 7(Z= 8) -> #30 # 6 # 5  [O->Ga,N,C]
  # 8(Z= 9) -> # 9 #14 #23  [F->Ne,P,Cr]
  # 9(Z=10) -> # 8 #17 #14  [Ne->F,Ar,P]
  #10(Z=11) -> #18 # 3 # 4  [Na->K,Be,B]
  #11(Z=12) -> #19 #12 #33  [Mg->Ca,Al,Se]
  #12(Z=13) -> #19 #33 #15  [Al->Ca,Se,S]
  #13(Z=14) -> #28 #15 #14  [Si->Cu,S,P]
  #14(Z=15) -> #23 #32 #27  [P->Cr,As,Ni]
  #15(Z=16) -> #28 #13 #33  [S->Cu,Si,Se]
  #16(Z=17) -> #25 #26 #20  [Cl->Fe,Co,Sc]
  #17(Z=18) -> # 1 #34 #25  [Ar->He,Br,Fe]
  #18(Z=19) -> #10 # 3 # 4  [K->Na,Be,B]
  #19(Z=20) -> #12 #33 #15  [Ca->Al,Se,S]
  #20(Z=21) -> #21 #24 #39  [Sc->Ti,Mn,Zr]
  #21(Z=22) -> #24 #20 #39  [Ti->Mn,Sc,Zr]
  #22(Z=23) -> #26 #25 #31  [V->Co,Fe,Ge]
  #23(Z=24) -> #14 #32 #27  [Cr->P,As,Ni]
  #24(Z=25) -> #21 #39 #40  [Mn->Ti,Zr,Nb]
  #25(Z=26) -> #22 #26 #21  [Fe->V,Co,Ti]
  #26(Z=27) -> #22 #25 #34  [Co->V,Fe,Br]
  #27(Z=28) -> #29 #32 #35  [Ni->Zn,As,Kr]
  #28(Z=29) -> #15 #13 #33  [Cu->S,Si,Se]
  #29(Z=30) -> #26 #16 #35  [Zn->Co,Cl,Kr]
  #30(Z=31) -> # 7 # 6 # 5  [Ga->O,N,C]
  #31(Z=32) -> #37 #42 #38  [Ge->Sr,Tc,Y]
  #32(Z=33) -> #23 #27 #14  [As->Cr,Ni,P]
  #33(Z=34) -> #15 #28 #12  [Se->S,Cu,Al]
  #34(Z=35) -> #22 #31 #26  [Br->V,Ge,Co]
  #35(Z=36) -> #29 #34 #26  [Kr->Zn,Br,Co]
  #36(Z=37) -> #54 #86 #48  [Rb->Cs,Fr,In]
  #37(Z=38) -> #47 #38 #50  [Sr->Cd,Y,Sb]
  #38(Z=39) -> #39 #37 #42  [Y->Zr,Sr,Tc]
  #39(Z=40) -> #38 #42 #40  [Zr->Y,Tc,Nb]
  #40(Z=41) -> #42 #39 #41  [Nb->Tc,Zr,Mo]
  #41(Z=42) -> #43 #45 #44  [Mo->Ru,Pd,Rh]
  #42(Z=43) -> #40 #38 #39  [Tc->Nb,Y,Zr]
  #43(Z=44) -> #41 #45 #44  [Ru->Mo,Pd,Rh]
  #44(Z=45) -> #45 #41 #43  [Rh->Pd,Mo,Ru]
  #45(Z=46) -> #43 #41 #44  [Pd->Ru,Mo,Rh]
  #46(Z=47) -> #44 #48 #45  [Ag->Rh,In,Pd]
  #47(Z=48) -> #37 #50 #60  [Cd->Sr,Sb,Pm]
  #48(Z=49) -> #46 #114 #80  [In->Ag,Mc,Tl]
  #49(Z=50) -> #57 #59 #61  [Sn->Ce,Nd,Sm]
  #50(Z=51) -> #60 #58 #59  [Sb->Pm,Pr,Nd]
  #51(Z=52) -> #77 #73 #81  [Te->Pt,W,Pb]
  #52(Z=53) -> #58 #50 #59  [I->Pr,Sb,Nd]
  #53(Z=54) -> #52 #55 #84  [Xe->I,Ba,At]
  #54(Z=55) -> #36 #86 #80  [Cs->Rb,Fr,Tl]
  #55(Z=56) -> #68 #67 #64  [Ba->Tm,Er,Tb]
  #56(Z=57) -> #64 #62 #63  [La->Tb,Eu,Gd]
  #57(Z=58) -> #61 #59 #62  [Ce->Sm,Nd,Eu]
  #58(Z=59) -> #59 #50 #60  [Pr->Nd,Sb,Pm]
  #59(Z=60) -> #58 #57 #49  [Nd->Pr,Ce,Sn]
  #60(Z=61) -> #50 #58 #59  [Pm->Sb,Pr,Nd]
  #61(Z=62) -> #57 #62 #49  [Sm->Ce,Eu,Sn]
  #62(Z=63) -> #61 #56 #57  [Eu->Sm,La,Ce]
  #63(Z=64) -> #67 #64 #68  [Gd->Er,Tb,Tm]
  #64(Z=65) -> #68 #63 #56  [Tb->Tm,Gd,La]
  #65(Z=66) -> #69 #66 #67  [Dy->Yb,Ho,Er]
  #66(Z=67) -> #67 #65 #63  [Ho->Er,Dy,Gd]
  #67(Z=68) -> #63 #68 #66  [Er->Gd,Tm,Ho]
  #68(Z=69) -> #64 #67 #63  [Tm->Tb,Er,Gd]
  #69(Z=70) -> #65 #66 #84  [Yb->Dy,Ho,At]
  #70(Z=71) -> #115 #83 #112  [Lu->Lv,Po,Nh]
  #71(Z=72) -> #72 #78 #74  [Hf->Ta,Au,Re]
  #72(Z=73) -> #71 #74 #78  [Ta->Hf,Re,Au]
  #73(Z=74) -> #117 #77 #51  [W->Og,Pt,Te]
  #74(Z=75) -> #72 #77 #51  [Re->Ta,Pt,Te]
  #75(Z=76) -> #81 #105 #90  [Os->Pb,Sg,Pa]
  #76(Z=77) -> #101 #110 #113  [Ir->No,Rg,Fl]
  #77(Z=78) -> #51 #73 #74  [Pt->Te,W,Re]
  #78(Z=79) -> #116 #71 #83  [Au->Ts,Hf,Po]
  #79(Z=80) -> #110 #92 #76  [Hg->Rg,Np,Ir]
  #80(Z=81) -> #114 #102 #112  [Tl->Mc,Lr,Nh]
  #81(Z=82) -> #75 #105 #90  [Pb->Os,Sg,Pa]
  #82(Z=83) -> #116 #78 #83  [Bi->Ts,Au,Po]
  #83(Z=84) -> #78 #82 #116  [Po->Au,Bi,Ts]
  #84(Z=85) -> #69 #66 #65  [At->Yb,Ho,Dy]
  #85(Z=86) -> #94 #87 #95  [Rn->Am,Ra,Cm]
  #86(Z=87) -> #54 #80 #36  [Fr->Cs,Tl,Rb]
  #87(Z=88) -> #97 #99 #94  [Ra->Cf,Fm,Am]
  #88(Z=89) -> #107 #82 #103  [Ac->Hs,Bi,Rf]
  #89(Z=90) -> #91 #93 #99  [Th->U,Pu,Fm]
  #90(Z=91) -> #113 #105 #75  [Pa->Fl,Sg,Os]
  #91(Z=92) -> #93 #99 #89  [U->Pu,Fm,Th]
  #92(Z=93) -> #110 #100 #101  [Np->Rg,Md,No]
  #93(Z=94) -> #91 #89 #99  [Pu->U,Th,Fm]
  #94(Z=95) -> #109 #87 #97  [Am->Ds,Ra,Cf]
  #95(Z=96) -> #108 #104 #85  [Cm->Mt,Db,Rn]
  #96(Z=97) -> #98 #109 #100  [Bk->Es,Ds,Md]
  #97(Z=98) -> #87 #99 #100  [Cf->Ra,Fm,Md]
  #98(Z=99) -> #96 #101 #100  [Es->Bk,No,Md]
  #99(Z=100) -> #97 #87 #100  [Fm->Cf,Ra,Md]
  #100(Z=101) -> #98 #97 #96  [Md->Es,Cf,Bk]
  #101(Z=102) -> #98 #110 #100  [No->Es,Rg,Md]
  #102(Z=103) -> #112 #114 #80  [Lr->Nh,Mc,Tl]
  #103(Z=104) -> #88 #107 #115  [Rf->Ac,Hs,Lv]
  #104(Z=105) -> #95 #108 #106  [Db->Cm,Mt,Bh]
  #105(Z=106) -> #75 #81 #108  [Sg->Os,Pb,Mt]
  #106(Z=107) -> #116 #74 #51  [Bh->Ts,Re,Te]
  #107(Z=108) -> #88 #104 #103  [Hs->Ac,Db,Rf]
  #108(Z=109) -> #105 #90 #75  [Mt->Sg,Pa,Os]
  #109(Z=110) -> #94 #96 #90  [Ds->Am,Bk,Pa]
  #110(Z=111) -> #101 #92 #98  [Rg->No,Np,Es]
  #111(Z=112) -> #79 #92 #89  [Cn->Hg,Np,Th]
  #112(Z=113) -> #115 #102 #70  [Nh->Lv,Lr,Lu]
  #113(Z=114) -> #90 #75 #105  [Fl->Pa,Os,Sg]
  #114(Z=115) -> #80 #102 #112  [Mc->Tl,Lr,Nh]
  #115(Z=116) -> #103 #112 #82  [Lv->Rf,Nh,Bi]
  #116(Z=117) -> #78 #106 #82  [Ts->Au,Bh,Bi]
  #117(Z=118) -> #73 #77 #51  [Og->W,Pt,Te]

╔══════════════════════════════════════════════════════════════╗
║  TABLE 4: REVEAL — Pairing & Magnetic Alignment           ║
╚══════════════════════════════════════════════════════════════╝

       Z  MdA     MdB     MdC      Mag   Un#  Match?
  ─────────────────────────────────────────────────────────────
  H    1  ?       CANCEL  CANCEL   para    1  para NOT open
  He   2  ?       CANCEL  CANCEL   dia     0  dia→CANCEL ✓
  Li   3  LOOSE   LOOSE   LOOSE    para    1  para→open ✓
  Be   4  CANCEL  CANCEL  CANCEL   dia     0  dia→CANCEL ✓
  B    5  BREACH  BREACH  BREACH   para    1  para→BREACH
  C    6  BREACH  BREACH  BREACH   para    2  para→BREACH
  N    7  BREACH  BREACH  BREACH   para    3  para→BREACH
  O    8  BREACH  BREACH  BREACH   para    2  para→BREACH
  F    9  CANCEL  CANCEL  CANCEL   para    1  para NOT open
  Ne  10  CANCEL  CANCEL  CANCEL   dia     0  dia→CANCEL ✓
  Na  11  LOOSE   LOOSE   LOOSE    para    1  para→open ✓
  Mg  12  CANCEL  CANCEL  CANCEL   dia     0  dia→CANCEL ✓
  Al  13  ?       RESIDUAL RESIDUAL  para    1  para→open ✓
  Si  14  ?       SOFT    RESIDUAL  para    2  para→open ✓
  P   15  ?       RESIDUAL RESIDUAL  para    3  para→open ✓
  S   16  ?       SOFT    RESIDUAL  para    2  para→open ✓
  Cl  17  ?       SOFT    SOFT     para    1  para→open ✓
  Ar  18  ?       CANCEL  CANCEL   dia     0  dia→CANCEL ✓
  K   19  LOOSE   LOOSE   LOOSE    para    1  para→open ✓
  Ca  20  CANCEL  CANCEL  CANCEL   dia     0  dia→CANCEL ✓
  Sc  21  ?       SOFT    SOFT     para    1  para→open ✓
  Ti  22  ?       SOFT    SOFT     para    2  para→open ✓
  V   23  ?       SOFT    SOFT     para    3  para→open ✓
  Cr  24  ?       SOFT    D-GEAR   para    6  para→open ✓
  Mn  25  ?       SOFT    SOFT     para    5  para→open ✓
  Fe  26  ?       SOFT    SOFT     para    4  para→open ✓
  Co  27  ?       SOFT    SOFT     para    3  para→open ✓
  Ni  28  ?       SOFT    D-GEAR   para    2  para→open ✓
  Cu  29  ?       SOFT    D-GEAR   para    1  para→open ✓
  Zn  30  ?       SOFT    SOFT     dia     0  dia NOT cancel
  Ga  31  ?       SOFT    RESIDUAL  para    1  para→open ✓
  Ge  32  ?       SOFT    SOFT     para    2  para→open ✓
  As  33  ?       SOFT    RESIDUAL  para    3  para→open ✓
  Se  34  ?       SOFT    RESIDUAL  para    2  para→open ✓
  Br  35  ?       SOFT    SOFT     para    1  para→open ✓
  Kr  36  ?       SOFT    SOFT     dia     0  dia NOT cancel
  Rb  37  LOOSE   LOOSE   LOOSE    para    1  para→open ✓
  Sr  38  ?       SOFT    SOFT     dia     0  dia NOT cancel
  Y   39  ?       SOFT    SOFT     para    1  para→open ✓
  Zr  40  ?       SOFT    SOFT     para    2  para→open ✓
  Nb  41  ?       SOFT    SOFT     para    5  para→open ✓
  Mo  42  ?       SOFT    SOFT     para    6  para→open ✓
  Tc  43  ?       SOFT    SOFT     para    5  para→open ✓
  Ru  44  ?       SOFT    SOFT     para    4  para→open ✓
  Rh  45  ?       SOFT    SOFT     para    3  para→open ✓
  Pd  46  ?       SOFT    SOFT     dia     0  dia NOT cancel
  Ag  47  ?       SOFT    SOFT     para    1  para→open ✓
  Cd  48  ?       SOFT    SOFT     dia     0  dia NOT cancel
  In  49  ?       SOFT    SOFT     para    1  para→open ✓
  Sn  50  ?       SOFT    SOFT     para    2  para→open ✓
  Sb  51  ?       SOFT    SOFT     para    3  para→open ✓
  Te  52  ?       SOFT    SOFT     para    2  para→open ✓
  I   53  ?       SOFT    SOFT     para    1  para→open ✓
  Xe  54  ?       SOFT    SOFT     dia     0  dia NOT cancel
  Cs  55  LOOSE   LOOSE   LOOSE    para    1  para→open ✓
  Ba  56  ?       SOFT    SOFT     dia     0  dia NOT cancel
  La  57  ?       SOFT    SOFT     para    1  para→open ✓
  Ce  58  ?       SOFT    SOFT     para    2  para→open ✓
  Pr  59  ?       SOFT    SOFT     para    3  para→open ✓
  Nd  60  ?       SOFT    SOFT     para    4  para→open ✓
  Pm  61  ?       SOFT    SOFT     para    5  para→open ✓
  Sm  62  ?       SOFT    SOFT     para    6  para→open ✓
  Eu  63  ?       SOFT    SOFT     para    7  para→open ✓
  Gd  64  ?       SOFT    SOFT     para    8  para→open ✓
  Tb  65  ?       SOFT    SOFT     para    5  para→open ✓
  Dy  66  ?       SOFT    SOFT     para    4  para→open ✓
  Ho  67  ?       SOFT    SOFT     para    3  para→open ✓
  Er  68  ?       SOFT    SOFT     para    2  para→open ✓
  Tm  69  ?       SOFT    SOFT     para    1  para→open ✓
  Yb  70  ?       SOFT    SOFT     dia     0  dia NOT cancel
  Lu  71  ?       SOFT    SOFT     para    1  para→open ✓
  Hf  72  ?       SOFT    SOFT     para    2  para→open ✓
  Ta  73  ?       SOFT    SOFT     para    3  para→open ✓
  W   74  ?       SOFT    SOFT     para    4  para→open ✓
  Re  75  ?       SOFT    SOFT     para    5  para→open ✓
  Os  76  ?       SOFT    SOFT     para    4  para→open ✓
  Ir  77  ?       SOFT    SOFT     para    3  para→open ✓
