corpus_id,species,Z,A,ion_stage,transition,quantity,value,unit,source,citation
C-EXC-Z,Z=11 H-like,11,22,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=12 H-like,12,24,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=13 H-like,13,26,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=14 H-like,14,28,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=15 H-like,15,30,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=16 H-like,16,32,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=17 H-like,17,34,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=18 H-like,18,36,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=19 H-like,19,38,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=20 H-like,20,40,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=21 H-like,21,42,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=22 H-like,22,44,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=23 H-like,23,46,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=24 H-like,24,48,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=25 H-like,25,50,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-deep,Fe XXVI,26,56,XXVI,2->1,E_keV,6.9625,keV,literature doublet centroid,"Fe XXVI Lyα1 6.973 keV, Lyα2 6.952 keV (Tomaru/MNRAS compilation)"
C-EXC-deep,Fe XXVI,26,56,XXVI,2->1,lambda_nm,0.17807425268682261,nm,from 6.9625 keV centroid,derived from E_keV hold-out
C-EXC-deep,C VI,6,12,VI,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST
C-EXC-deep,C VI,6,12,VI,3->1,lambda_nm,,nm,NO_DATA,no in-repo NIST
C-EXC-deep,C VI,6,12,VI,3->2,lambda_nm,,nm,NO_DATA,no in-repo NIST
C-EXC-deep,O VIII,8,16,VIII,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST
C-EXC-deep,O VIII,8,16,VIII,3->1,lambda_nm,,nm,NO_DATA,no in-repo NIST
C-EXC-deep,O VIII,8,16,VIII,3->2,lambda_nm,,nm,NO_DATA,no in-repo NIST
C-EXC-deep,Si XIV,14,28,XIV,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST
C-EXC-deep,Si XIV,14,28,XIV,3->1,lambda_nm,,nm,NO_DATA,no in-repo NIST
C-EXC-deep,Si XIV,14,28,XIV,3->2,lambda_nm,,nm,NO_DATA,no in-repo NIST
C-ISO-H,D I,1,2,I,2->1,lambda_nm,121.5339,nm,NIST H-D reference scale (Reader 2004 / Erickson 1977 blend),D Lyα unresolved 2p blend ~121.534 nm vacuum
C-ISO-H,T I,1,3,I,2->1,lambda_nm,,nm,NO_DATA,no in-repo T Lyα
C-ISO-He,He-4 II,2,4,II,2->1,lambda_nm,30.3785,nm,APS01 NIST,NIST ASD
C-ISO-He,He-3 II,2,3,II,2->1,lambda_nm,,nm,NO_DATA,no in-repo 3He II Lyα
C-ION-last,Z=2,2,0,2,IE_2,IE_eV,54.41776,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=3,3,0,3,IE_3,IE_eV,122.45435,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=4,4,0,4,IE_4,IE_eV,217.71858,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=5,5,0,5,IE_5,IE_eV,340.2258,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=6,6,0,6,IE_6,IE_eV,489.99334,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=7,7,0,7,IE_7,IE_eV,667.046,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=8,8,0,8,IE_8,IE_eV,871.4101,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=9,9,0,9,IE_9,IE_eV,1103.1176,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=10,10,0,10,IE_10,IE_eV,1362.1995,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=11,11,0,11,IE_11,IE_eV,1648.702,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=12,12,0,12,IE_12,IE_eV,1962.665,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=13,13,0,13,IE_13,IE_eV,2304.141,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=14,14,0,14,IE_14,IE_eV,2673.182,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=15,15,0,15,IE_15,IE_eV,3069.842,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=16,16,0,16,IE_16,IE_eV,3494.1892,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=17,17,0,17,IE_17,IE_eV,3946.296,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=18,18,0,18,IE_18,IE_eV,4426.2296,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=19,19,0,19,IE_19,IE_eV,4934.046,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=20,20,0,20,IE_20,IE_eV,5469.864,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=21,21,0,21,IE_21,IE_eV,6033.712,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=22,22,0,22,IE_22,IE_eV,6625.82,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=23,23,0,23,IE_23,IE_eV,7246.12,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=24,24,0,24,IE_24,IE_eV,7894.81,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=25,25,0,25,IE_25,IE_eV,8571.94,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=26,26,0,26,IE_26,IE_eV,9277.69,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=27,27,0,27,IE_27,IE_eV,10012.12,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=28,28,0,28,IE_28,IE_eV,10775.4,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=29,29,0,29,IE_29,IE_eV,11567.617,eV,Datasets/nuclear/ionisation_energies.json,NIST/CRC compilation
C-ION-last,Z=30,30,0,30,IE_30,IE_eV,,eV,NO_DATA,json missing last IE
C-ION-full,Z=2,2,0,1,IE_1,IE_eV,24.58738,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=2,2,0,1,IE_1,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=2,2,0,2,IE_2,IE_eV,54.41776,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=2,2,0,2,IE_2,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=4,4,0,1,IE_1,IE_eV,9.32269,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=4,4,0,1,IE_1,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=4,4,0,2,IE_2,IE_eV,18.21115,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=4,4,0,2,IE_2,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=4,4,0,3,IE_3,IE_eV,153.8962,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=4,4,0,3,IE_3,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=4,4,0,4,IE_4,IE_eV,217.71858,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=4,4,0,4,IE_4,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=6,6,0,1,IE_1,IE_eV,11.2603,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=6,6,0,1,IE_1,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=6,6,0,2,IE_2,IE_eV,24.38332,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=6,6,0,2,IE_2,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=6,6,0,3,IE_3,IE_eV,47.8878,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=6,6,0,3,IE_3,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=6,6,0,4,IE_4,IE_eV,64.4939,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=6,6,0,4,IE_4,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=6,6,0,5,IE_5,IE_eV,392.087,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=6,6,0,5,IE_5,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=6,6,0,6,IE_6,IE_eV,489.99334,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=6,6,0,6,IE_6,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=8,8,0,1,IE_1,IE_eV,13.61806,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=8,8,0,1,IE_1,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=8,8,0,2,IE_2,IE_eV,35.1173,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=8,8,0,2,IE_2,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=8,8,0,3,IE_3,IE_eV,54.9355,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=8,8,0,3,IE_3,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=8,8,0,4,IE_4,IE_eV,77.41353,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=8,8,0,4,IE_4,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=8,8,0,5,IE_5,IE_eV,113.899,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=8,8,0,5,IE_5,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=8,8,0,6,IE_6,IE_eV,138.1197,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=8,8,0,6,IE_6,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=8,8,0,7,IE_7,IE_eV,739.29,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=8,8,0,7,IE_7,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=8,8,0,8,IE_8,IE_eV,871.4101,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=8,8,0,8,IE_8,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=10,10,0,1,IE_1,IE_eV,21.5646,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=10,10,0,1,IE_1,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=10,10,0,2,IE_2,IE_eV,40.96328,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=10,10,0,2,IE_2,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=10,10,0,3,IE_3,IE_eV,63.45,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=10,10,0,3,IE_3,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=10,10,0,4,IE_4,IE_eV,97.12,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=10,10,0,4,IE_4,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=10,10,0,5,IE_5,IE_eV,126.21,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=10,10,0,5,IE_5,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=10,10,0,6,IE_6,IE_eV,157.93,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=10,10,0,6,IE_6,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=10,10,0,7,IE_7,IE_eV,207.2759,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=10,10,0,7,IE_7,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=10,10,0,8,IE_8,IE_eV,239.0989,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=10,10,0,8,IE_8,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=10,10,0,9,IE_9,IE_eV,1195.8286,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=10,10,0,9,IE_9,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=10,10,0,10,IE_10,IE_eV,1362.1995,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=10,10,0,10,IE_10,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=12,12,0,1,IE_1,IE_eV,7.64624,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=12,12,0,1,IE_1,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=12,12,0,2,IE_2,IE_eV,15.03528,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=12,12,0,2,IE_2,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=12,12,0,3,IE_3,IE_eV,80.1437,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=12,12,0,3,IE_3,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=12,12,0,4,IE_4,IE_eV,109.2655,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=12,12,0,4,IE_4,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=12,12,0,5,IE_5,IE_eV,141.27,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=12,12,0,5,IE_5,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=12,12,0,6,IE_6,IE_eV,186.76,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=12,12,0,6,IE_6,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=12,12,0,7,IE_7,IE_eV,225.02,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=12,12,0,7,IE_7,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=12,12,0,8,IE_8,IE_eV,265.96,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=12,12,0,8,IE_8,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=12,12,0,9,IE_9,IE_eV,328.06,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=12,12,0,9,IE_9,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=12,12,0,10,IE_10,IE_eV,367.5,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=12,12,0,10,IE_10,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=12,12,0,11,IE_11,IE_eV,1761.805,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=12,12,0,11,IE_11,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=12,12,0,12,IE_12,IE_eV,1962.665,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=12,12,0,12,IE_12,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,1,IE_1,IE_eV,15.75962,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,1,IE_1,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,2,IE_2,IE_eV,27.62967,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,2,IE_2,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,3,IE_3,IE_eV,40.74,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,3,IE_3,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,4,IE_4,IE_eV,59.81,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,4,IE_4,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,5,IE_5,IE_eV,75.02,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,5,IE_5,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,6,IE_6,IE_eV,91.009,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,6,IE_6,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,7,IE_7,IE_eV,124.323,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,7,IE_7,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,8,IE_8,IE_eV,143.46,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,8,IE_8,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,9,IE_9,IE_eV,422.45,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,9,IE_9,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,10,IE_10,IE_eV,478.69,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,10,IE_10,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,11,IE_11,IE_eV,538.96,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,11,IE_11,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,12,IE_12,IE_eV,618.26,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,12,IE_12,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,13,IE_13,IE_eV,686.1,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,13,IE_13,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,14,IE_14,IE_eV,755.74,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,14,IE_14,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,15,IE_15,IE_eV,854.77,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,15,IE_15,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,16,IE_16,IE_eV,918.03,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,16,IE_16,n_valence,2,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,17,IE_17,IE_eV,4120.8857,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,17,IE_17,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=18,18,0,18,IE_18,IE_eV,4426.2296,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=18,18,0,18,IE_18,n_valence,1,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,1,IE_1,IE_eV,6.11316,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,1,IE_1,n_valence,4,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,2,IE_2,IE_eV,11.87172,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,2,IE_2,n_valence,4,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,3,IE_3,IE_eV,50.9131,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,3,IE_3,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,4,IE_4,IE_eV,67.27,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,4,IE_4,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,5,IE_5,IE_eV,84.5,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,5,IE_5,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,6,IE_6,IE_eV,108.78,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,6,IE_6,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,7,IE_7,IE_eV,127.2,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,7,IE_7,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
C-ION-full,Z=20,20,0,8,IE_8,IE_eV,147.24,eV,ionisation_energies.json,NIST/CRC
C-ION-n,Z=20,20,0,8,IE_8,n_valence,3,1,frozen Madelung outermost of N=Z-k+1,APS12 Phase 0 freeze
